IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
AARS;CHD8;ABAT;TRAPPC13;HSPB1;NIPAL3;TSPAN6;TTF2;CIRBP;USP53;NFIB;CH17-472G23.1;H3F3B;ABCA2;AARS
ABAT;SCN2A;ABCA10;AC005592.1;GADD45G;HECW1;FGR;MX2;ASCC1;SH3TC1;CFL1;PTGDS;RUNDC3B;ACTN2;ABAT
ABCF1;SYNGAP1;ABCA13;C21orf2;NQO1;DBNDD1;FUCA2;ASCC1;CHCHD2;GSK3B;PTMAP2;RP11-444D3.1;FBLN1;ADARB1;ADARB1
ABL2;ADNP;ABCA7;MBTPS2;FTL;ARF5;NFYA;GLRA3;RAB3GAP1;SSBP2;ABCA2;CDC37;MYO1E;AHDC1;ADCY5
ABR;FOXP1;ABL2;CCDC25;BAG3;CCDC132;SEMA3F;CIRBP;TTF2;BPTF;PAQR8;PLEKHG1;NSD1;AHI1;SLC25A4
ACACA;POGZ;ACE;AREL1;P4HA1;NDUFAB1;CD99;SAT2;USP9X;FAF1;RBM6;PCSK5;PDZD2;ALMS1;ASNS
ACP1;ARID1B;ACHE;RMND5B;ZC3HAV1;HCCS;TMEM176A;QTRT1;VAV3;CCND3;CIRBP;FARP1;PTEN;ALS2;ATP1A3
ACRV1;SUV420H1;ACTB;TTC19;BCCIP;CIAPIN1;CFLAR;CDH2;GRIA4;PTBP2;PTGDS;PDCD6IP;ELL2;AMPD2;ATP2B3
ACTN1;DYRK1A;ACTL6B;ADCK1;HMOX1;PRKAR2B;TFPI;LUC7L;PPP2R5E;FOXP2;NCAM1;GPHN;VTI1A;AP3B2;ATP6V1A
ACTN2;SLC6A1;ACTN4;TECPR1;ARRDC3;MYCBP2;SLC7A2;TCF25;TET2;H3F3B;PTMA;PACS1;FRMD3;ARID1B;ATP6V1B2
ACTN3;GRIN2B;ACY1;DDHD1;TNFRSF10D;CACNG3;CD38;SSBP2;STXBP6;NCKAP5;ATP8A1;RP5-864K19.4;GRM3;ARL13B;KIF1A
ADARB1;PTEN;ADA;GPR85;MCL1;AP2B1;PDK4;WDR60;HINT1;AUTS2;C10orf90;LMO3;NR2F2-AS1;ASXL3;CACNA1B
ADCY1;SHANK3;ADCY3;UROS;LINC01094;CX3CL1;ST7;CABP1;MGAT4C;CIRBP;PTMAP5;ZMYND8;CARMN;ATP6V1A;CAMK2A
ADCY2;MED13L;ADCY5;IRGQ;NFKB2;MAP3K9;UPF1;FBLN7;BEX1;TBC1D5;MBNL1;CHCHD2;HIF1A;BCL11B;CAMK2B
ADCY3;GIGYF1;ADGRL1;DNM1L;NBPF14;AGK;COPZ2;CDC14B;ATP1A3;CACNA1A;OLIG1;DLC1;MPPED2;BRAT1;CAMK2G
ADCY5;CHD2;ADK;RBM11;CDKN1A;ARHGAP44;ITGAL;GPM6A;CNTN5;ZEB2;ZNF365;NCAM2;FNDC3B;BRPF1;CHKB
ADCY6;ANKRD11;ADNP;KAZALD1;SLC44A3;PAFAH1B1;ITGA2B;IGFBP5;APLP2;FAM177B;;LINC01158;MYL12A;BSND;AP2M1
ADCY9;ANK2;ADORA3;TM7SF2;LONRF3;GAS7;ALDH3B1;FAM153B;SEPT11;TMEM131;;HS3ST5;SEPT8;CAMK2A;CTNNA2
ADD3;ASH1L;ADSL;LRP8;PLSCR1;MATK;GTF2IRD1;GUCY1A2;PLCXD3;RAD51B;;ATP5EP2;DLC1;CDK13;DLG3
